,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,209.71,210.75,208.95,210.24,274062,5734,210.095078,209.73,False,True,2640.0
1,2021-07-01,211.44,212.0,209.8369,210.27,384997,9569,210.681569,211.08,False,False,2634.0
2,2021-07-02,210.5,210.36,208.1567,209.9,349576,6518,209.52518,208.9,True,True,6396.0
3,2021-07-06,210.38,210.0,204.4,206.52,467458,8106,206.533068,206.26,True,True,6542.0
4,2021-07-07,207.33,210.11,205.87,209.51,592050,11614,208.97979,207.415,True,True,7196.0
5,2021-07-08,205.9,208.12,204.42,207.48,383766,8932,206.781265,204.9,False,True,12820.0
6,2021-07-09,209.53,211.12,209.0,210.35,329560,8018,210.218837,210.15,False,True,8185.0
7,2021-07-12,208.685,212.135,208.31,210.43,483467,9562,210.503272,211.77,False,False,7882.0
8,2021-07-13,209.73,210.11,207.4429,208.22,567452,11093,208.612265,209.55,True,False,20642.0
9,2021-07-14,209.42,210.05,207.67,208.05,348470,7276,208.485511,208.01,False,True,5738.0
10,2021-07-15,206.87,209.2,206.36,207.87,296057,8336,207.824647,207.73,False,True,8969.0
11,2021-07-16,207.73,208.59,202.57,203.29,463480,9637,204.435778,205.37,False,False,10638.0
12,2021-07-19,201.03,202.02,196.93,198.84,727937,14179,198.992957,201.44,True,False,9496.0
13,2021-07-20,199.02,204.03,198.49,200.75,902330,14620,201.447619,202.44,False,False,24061.0
14,2021-07-21,202.47,204.045,201.71,203.09,660911,13250,202.880272,202.0,True,True,25904.0
15,2021-07-22,201.74,203.25,200.42,200.88,376155,8466,201.340555,201.5,False,False,10502.0
16,2021-07-23,201.88,202.77,199.75,202.25,398540,9224,201.413119,200.46,True,True,7430.0
17,2021-07-26,202.22,205.88,202.22,205.3,445098,9851,205.078083,203.33,False,True,7866.0
18,2021-07-27,202.78,207.17,202.22,205.05,683557,11434,205.096111,206.09,True,False,10923.0
19,2021-07-28,206.54,214.65,206.42,209.99,1182876,16737,210.92157,211.545,True,False,39762.0
20,2021-07-29,210.93,211.47,207.95,209.7,436899,9680,209.592214,209.02,False,True,10632.0
21,2021-07-30,209.9,211.07,209.35,210.68,341639,8286,210.332227,209.53,False,True,7142.0
22,2021-08-02,212.96,215.25,209.8,210.26,533184,9932,210.918012,212.17,True,False,11666.0
23,2021-08-03,211.64,214.31,209.36,213.97,357061,6801,213.547255,212.53,True,True,9193.0
24,2021-08-04,213.96,214.54,211.5641,212.76,389576,8385,212.875083,212.6,False,True,6679.0
25,2021-08-05,214.48,215.41,211.015,211.9,280785,6540,212.132847,212.69,True,False,7135.0
26,2021-08-06,213.98,214.5,211.308,213.22,368827,6800,213.369581,213.24,True,False,6084.0
27,2021-08-09,213.27,214.98,211.51,214.65,453178,7355,214.265315,213.43,True,True,10335.0
28,2021-08-10,215.84,218.53,215.0,217.03,349838,8158,217.342697,216.93,False,True,8218.0
29,2021-08-11,217.26,218.49,215.96,217.5,317646,7049,217.374481,217.85,True,False,4926.0
30,2021-08-12,216.99,217.905,215.34,216.02,255498,6634,216.065319,216.32,False,False,5566.0
31,2021-08-13,216.66,218.13,215.35,215.53,292590,6877,216.128766,216.95,False,False,13037.0
32,2021-08-16,214.51,219.83,214.28,219.7,538210,7917,218.818134,218.73,True,True,7889.0
33,2021-08-17,219.28,220.5,215.59,216.78,423243,8750,217.218132,218.215,False,False,13252.0
34,2021-08-18,216.07,218.09,215.32,215.62,370836,7421,216.415573,217.62,True,False,14194.0
35,2021-08-19,213.17,217.055,212.6842,215.47,390968,6980,215.660668,214.85,False,True,7053.0
36,2021-08-20,216.61,218.95,215.07,218.28,321525,6812,217.91907,216.85,False,True,4148.0
37,2021-08-23,219.59,220.2,217.77,218.05,307818,8570,218.836891,219.05,True,False,9310.0
38,2021-08-24,218.05,220.24,217.99,219.09,374158,7022,219.16112,218.825,False,True,9877.0
39,2021-08-25,219.32,224.49,217.84,223.94,791271,9963,223.158805,222.325,True,True,10367.0
40,2021-08-26,224.18,226.04,223.38,224.69,401880,8817,224.901079,224.66,False,True,8512.0
41,2021-08-27,226.71,228.09,225.25,226.14,438590,9073,226.24603,226.07,False,True,8239.0
42,2021-08-30,226.71,228.88,226.1899,226.62,288949,7301,227.098935,228.64,True,False,7508.0
43,2021-08-31,226.51,227.04,224.03,225.39,583070,10015,225.372607,225.28,False,True,12909.0
44,2021-09-01,225.53,227.69,222.7,226.14,453283,9560,225.486169,223.4,True,True,18618.0
45,2021-09-02,227.08,227.44,225.02,227.37,256162,7172,226.324268,225.8,False,True,4916.0
46,2021-09-03,227.0,227.69,225.65,225.73,296246,6050,226.14073,226.6,False,False,6025.0
47,2021-09-07,224.92,225.3,221.83,223.88,433698,8584,224.210412,224.25,False,False,10579.0
48,2021-09-08,223.16,225.75,222.37,224.92,367192,7262,224.80551,223.77,False,True,14282.0
49,2021-09-09,225.93,227.04,224.75,224.94,211780,5427,225.529243,225.82,False,False,3467.0
50,2021-09-10,226.34,227.505,224.33,224.37,311284,7479,225.626505,226.005,False,False,6660.0
51,2021-09-13,225.08,226.12,221.76,223.32,235838,6629,223.077225,223.0,True,True,5046.0
52,2021-09-14,222.44,223.7,220.6232,221.82,295313,6657,221.96223,222.13,False,False,2387.0
53,2021-09-15,221.94,224.5925,221.3349,222.53,372122,9243,222.901392,222.7053,False,False,6427.0
54,2021-09-16,223.39,223.06,221.02,221.43,283886,7863,221.762671,221.72,False,False,4957.0
55,2021-09-17,221.445,221.425,214.27,214.68,741592,10249,215.55939,215.675,False,False,4479.0
56,2021-09-20,211.48,213.6,208.8262,212.43,366078,9456,211.521553,212.37,False,True,7596.0
57,2021-09-21,212.77,213.0,209.94,210.53,306925,7284,210.925188,211.22,False,False,5834.0
58,2021-09-22,211.57,215.0,210.54,213.39,319904,6993,213.590265,213.3,True,True,14568.0
59,2021-09-23,215.78,220.79,215.15,218.51,420162,9452,219.126488,218.945,True,False,25015.0
60,2021-09-24,218.4,219.24,216.58,216.94,274140,6219,217.60484,217.515,True,False,6022.0
61,2021-09-27,215.73,217.93,214.39,217.07,427279,8846,216.848882,217.17,True,False,7102.0
62,2021-09-28,216.44,217.35,212.44,212.52,300088,9005,213.490402,214.92,True,False,5170.0
63,2021-09-29,212.36,214.94,211.52,212.84,237614,6916,213.468026,213.17,False,False,4104.0
64,2021-09-30,214.12,214.82,207.11,207.21,461316,9683,208.74948,212.62,True,False,15103.0
65,2021-10-01,207.66,210.45,203.23,209.65,394171,9323,208.306383,204.783,False,True,22585.0
66,2021-10-04,209.98,211.81,206.55,207.94,354721,8583,208.020208,208.93,False,False,9487.0
67,2021-10-05,208.07,211.99,207.625,210.97,519237,8973,210.973193,210.86,False,True,4603.0
68,2021-10-06,207.81,210.98,206.02,210.31,429818,9483,208.714985,207.68,False,True,12102.0
69,2021-10-07,212.88,215.325,211.86,213.33,323613,6953,213.725538,214.84,True,False,4843.0
70,2021-10-08,212.92,213.03,206.665,206.77,395454,8104,208.347776,210.41,False,False,3355.0
71,2021-10-11,207.79,208.89,205.4555,206.01,269159,6224,206.711392,207.665,False,False,6268.0
72,2021-10-12,207.71,207.68,205.11,205.68,375946,8989,206.031263,206.73,True,False,7352.0
73,2021-10-13,207.11,207.43,202.26,205.42,357003,9111,204.38703,203.265,True,True,23814.0
74,2021-10-14,206.49,208.615,206.56,207.73,501589,11761,207.741479,207.405,False,True,16706.0
75,2021-10-15,208.5,210.47,207.27,209.75,438825,8493,209.488705,208.75,True,True,12490.0
76,2021-10-18,208.05,209.86,207.39,209.52,463815,9836,209.08677,207.435,False,True,22400.0
77,2021-10-19,210.3,212.275,209.48,211.28,300275,7132,211.216948,210.63,True,True,4786.0
78,2021-10-20,211.885,215.69,210.88,214.67,360992,9472,214.320187,213.745,True,True,5696.0
79,2021-10-21,214.65,216.44,213.39,216.37,251733,6184,215.544266,214.26,False,True,6107.0
80,2021-10-22,216.81,219.99,216.81,217.5,286851,7021,218.151707,219.23,False,False,5315.0
81,2021-10-25,216.97,219.135,215.69,218.02,456522,8958,217.901888,218.25,True,False,6983.0
82,2021-10-26,218.12,218.75,211.235,211.9,722611,13879,213.114695,214.622,False,False,15712.0
83,2021-10-27,207.31,215.1,205.0,208.18,785033,13835,209.714438,211.005,False,False,23084.0
84,2021-10-28,210.05,215.75,209.515,215.29,602416,11290,213.706319,213.2,True,True,13940.0
85,2021-10-29,217.54,219.15,215.3,217.72,682595,12282,217.436644,218.16,True,False,15889.0
86,2021-11-01,217.79,222.745,215.9,219.24,639580,13139,219.560813,217.23,True,True,20827.0
87,2021-11-02,219.82,221.12,216.07,216.18,417232,9491,217.119672,218.73,False,False,8536.0
88,2021-11-03,217.53,220.54,216.05,217.24,590810,10670,217.870133,220.12,True,False,10021.0
89,2021-11-04,218.02,219.83,216.92,218.35,274338,7548,218.475517,218.53,False,False,4899.0
90,2021-11-05,220.11,226.7,219.1,226.42,747344,14263,224.627744,222.24,True,True,34696.0
91,2021-11-08,228.0,229.24,225.94,226.48,321394,8482,227.056216,228.68,True,False,13446.0
92,2021-11-09,224.84,227.25,223.354,227.13,391662,9945,225.845457,224.755,False,True,33354.0
93,2021-11-10,226.9,228.18,222.27,222.59,310409,7809,223.813233,227.32,True,False,8394.0
94,2021-11-11,222.655,223.8629,221.09,221.85,233058,7194,222.06904,222.79,False,False,9238.0
95,2021-11-12,222.19,225.41,221.44,225.19,222703,6027,224.384051,222.475,False,True,8572.0
96,2021-11-15,226.38,226.64,223.67,224.59,313963,6541,224.51457,225.305,False,False,5496.0
97,2021-11-16,224.61,228.11,224.36,225.22,272785,7119,225.857479,224.705,True,True,1712.0
98,2021-11-17,224.66,225.845,220.88,222.92,243063,7085,222.550163,223.21,False,False,6675.0
99,2021-11-18,222.785,223.44,218.77,219.78,345506,7357,220.36414,223.37,True,False,2299.0
100,2021-11-19,219.615,221.15,218.36,218.52,474617,9610,219.237197,219.4,False,False,24798.0
101,2021-11-22,219.46,221.3,217.36,218.97,452256,11568,219.261593,219.21,True,False,8686.0
102,2021-11-23,218.63,221.74,218.18,221.45,292821,7613,220.881788,220.27,True,True,6780.0
103,2021-11-24,221.16,221.76,218.16,218.85,563926,6705,219.104255,220.62,False,False,12055.0
104,2021-11-26,212.69,215.02,210.72,213.95,317931,8391,213.583897,213.33,True,True,13654.0
105,2021-11-29,216.47,218.26,214.79,215.53,424378,10122,216.105577,215.24,False,True,14432.0
106,2021-11-30,212.88,215.19,204.23,205.07,1011132,15681,206.099656,213.44,True,False,12210.0
107,2021-12-01,209.18,210.635,202.47,202.71,464283,13805,205.888638,208.87,True,False,13072.0
108,2021-12-02,202.7,210.137,202.71,209.18,449545,10494,208.083408,203.62,False,True,18282.0
109,2021-12-03,209.9,212.04,203.86,205.66,429944,10544,206.288693,211.0325,True,False,13391.0
110,2021-12-06,209.21,213.07,208.33,211.01,346696,8680,211.063819,210.32,True,True,17488.0
111,2021-12-07,213.19,216.82,212.52,215.21,402050,8053,215.270535,214.1,True,True,5665.0
112,2021-12-08,216.55,217.09,213.0,215.51,323349,8423,215.325856,215.87,False,False,8492.0
113,2021-12-09,214.08,214.5,210.695,211.55,538155,10999,212.245847,213.39,False,False,6913.0
114,2021-12-10,213.86,213.98,210.07,212.63,315967,6868,211.93154,212.7893,False,False,9637.0
115,2021-12-13,212.46,212.965,209.595,210.63,370635,8955,210.82904,211.99,False,False,8126.0
116,2021-12-14,209.59,212.445,207.95,208.32,451597,9886,209.346629,211.26,True,False,19967.0
117,2021-12-15,209.17,211.19,206.885,210.87,420801,8383,209.500775,209.95,True,True,9729.0
118,2021-12-16,211.48,213.46,206.83,210.87,384489,9015,211.049448,209.81,False,True,96895.0
119,2021-12-17,209.91,210.71,205.85,206.89,714048,9830,207.915414,207.71,False,False,97985.0
120,2021-12-20,203.28,204.04,195.66,202.38,502520,11600,200.162493,201.09,False,True,10404.0
121,2021-12-21,205.56,208.41,204.05,208.24,309479,8226,207.438092,205.27,True,True,8177.0
122,2021-12-22,208.82,208.92,206.785,207.15,368549,6520,207.506835,208.12,True,False,6582.0
123,2021-12-23,207.85,210.34,207.585,208.47,245645,6711,208.794658,209.81,True,False,13824.0
124,2021-12-27,210.05,212.57,208.75,212.5,196045,5867,211.147977,210.01,True,True,11804.0
125,2021-12-28,212.51,216.03,212.42,214.79,186293,6253,214.708879,214.134,True,True,6906.0
126,2021-12-29,215.12,218.22,214.42,217.11,329347,6883,217.271513,216.19,True,True,10344.0
127,2021-12-30,218.2,219.4133,215.0,215.28,223828,5757,216.017464,218.05,False,False,9634.0
128,2021-12-31,215.46,217.55,214.42,216.57,170990,4547,216.538071,215.08,True,True,2765.0
129,2022-01-03,216.42,217.205,210.3462,210.81,408063,9522,212.170716,217.205,True,False,4997.0
130,2022-01-04,211.2,217.825,212.265,215.92,431799,10940,216.142226,215.245,True,True,25306.0
131,2022-01-05,216.09,219.33,213.9,213.98,321859,9724,216.156735,218.62,True,False,7770.0
132,2022-01-06,213.98,215.73,211.51,214.01,392071,9589,214.024443,212.94,False,True,16543.0
133,2022-01-07,213.91,215.86,213.01,213.24,244261,7131,213.988158,214.18,False,False,6038.0
134,2022-01-10,210.86,211.32,205.51,207.46,683994,14820,207.579903,210.2,False,False,8655.0
135,2022-01-11,208.18,211.74,205.74,211.69,324833,9290,209.885661,205.87,False,True,8147.0
136,2022-01-12,213.03,214.78,212.31,212.84,516304,10149,213.246434,213.63,True,False,8311.0
137,2022-01-13,214.24,215.96,210.6,211.51,309290,7859,212.301515,214.705,True,False,8332.0
138,2022-01-14,209.36,211.355,206.475,209.08,359979,8827,208.619292,209.02,False,True,13470.0
