date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
2019-04-22,98.72,100.15,98.64,100.12,2058536,18720,99.65885,99.05,False,True,100.0
2019-04-23,100.31,102.145,99.6,101.97,2716850,24420,101.459499,100.26,False,True,148687.0
2019-04-24,102.15,102.24,101.03,101.1,2196362,14801,101.417408,101.815,False,False,82807.0
2019-04-25,100.33,102.01,100.01,101.83,1494215,15721,101.524289,100.515,False,True,61248.0
2019-04-26,102.24,103.39,101.16,103.35,2035418,17086,102.692573,102.14,False,True,75449.0
2019-04-29,102.7,103.17,100.88,101.26,3445253,22319,101.482357,102.96,False,False,751.0
2019-04-30,101.0,102.26,100.63,101.84,2356366,19855,101.670728,101.17,False,True,170465.0
2019-05-01,102.18,102.8,101.0,101.79,2095185,18886,102.023485,101.6,False,True,75763.0
2019-05-02,101.4,103.17,100.265,103.15,2063428,19201,102.415644,101.0,False,True,111.0
2019-05-03,102.85,103.97,102.0,103.75,1965192,19983,103.402508,103.3,False,True,120.0
2019-05-06,102.36,103.58,102.19,103.33,1301132,15127,102.979293,102.09,True,True,1230.0
2019-05-07,102.64,102.92,100.58,101.37,1673400,19730,101.33263,101.95,False,False,86193.0
2019-05-08,101.56,102.27,101.14,101.86,1367618,16956,101.86969,101.69,True,True,93634.0
2019-05-09,101.19,102.57,100.98,101.67,1517130,18904,101.56019,101.93,True,False,128892.0
2019-05-10,101.58,102.5,100.04,102.29,1886834,19107,101.708154,101.6,False,True,559.0
2019-05-13,100.56,101.84,100.31,101.35,1754392,18932,101.166008,100.95,True,True,71668.0
2019-05-14,101.98,102.31,101.21,101.25,1711735,15453,101.69939,102.04,True,False,79464.0
2019-05-15,101.04,102.43,100.65,101.84,1459540,16089,101.930265,101.42,True,True,68766.0
2019-05-16,102.55,103.84,102.3,102.93,1929840,20220,103.249251,102.62,True,True,68758.0
2019-05-17,101.7,102.54,101.36,101.97,2042107,19342,101.995158,102.0,False,False,300.0
2019-05-20,101.64,102.465,101.24,102.22,1665017,20027,102.139898,101.52,False,True,38980.0
2019-05-21,102.75,103.3,102.29,102.38,1166705,12864,102.582995,103.12,True,False,39953.0
2019-05-22,102.53,103.44,101.84,102.94,1059262,13284,102.879884,102.77,True,True,47956.0
2019-05-23,102.64,103.06,101.96,102.89,1726231,20146,102.508408,102.74,False,True,44064.0
2019-05-24,103.5,104.41,102.3,102.4,1266746,15278,103.040049,104.0739,True,False,64206.0
2019-05-28,102.6,103.57,101.4,102.02,4304050,23248,102.108023,103.08,True,False,58784.0
2019-05-29,101.74,102.03,100.67,101.15,1883065,20639,101.261964,101.4,False,False,141604.0
2019-05-30,101.3,102.35,101.24,102.33,1281944,14519,101.894396,101.64,True,True,140363.0
2019-05-31,101.53,102.29,100.56,101.05,1642154,16874,101.294264,100.74,False,True,80014.0
2019-06-03,101.9,104.87,101.54,103.95,3399220,35872,103.971498,101.03,False,True,250.0
2019-06-04,105.08,108.23,104.86,108.12,3712082,40334,107.067338,106.05,True,True,183539.0
2019-06-05,108.49,109.36,108.3,108.5,3224257,32934,108.633084,108.9,False,False,200.0
2019-06-06,109.0,110.355,108.385,108.89,3123425,28018,109.355472,108.68,False,True,265968.0
2019-06-07,109.67,110.9,109.05,110.06,1964788,21309,110.264277,109.78,True,True,114034.0
2019-06-10,110.28,110.73,109.1,110.22,2730091,17937,110.147575,109.51,False,True,134.0
